ID,FECHA,PUNTO,USERNAME
1.47532E+18,2021-12-26T22:24:03.000-06:00,POINT (-101.4721204 24.07030119),HiPeople_21
1.47527E+18,2021-12-26T18:45:13.000-06:00,POINT (-92.27389532 16.19021172),berita_bereniza
1.47532E+18,2021-12-26T22:21:19.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47532E+18,2021-12-26T22:21:43.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47532E+18,2021-12-26T22:21:53.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47532E+18,2021-12-26T22:21:08.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47532E+18,2021-12-26T22:21:05.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47532E+18,2021-12-26T22:21:55.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47527E+18,2021-12-26T18:46:17.000-06:00,POINT (-99.90193904 20.63830633),ariotos
1.4749E+18,2021-12-25T18:13:35.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47488E+18,2021-12-25T16:52:36.000-06:00,POINT (-94.89 16.72),eq_map_es2
1.47489E+18,2021-12-25T17:49:03.000-06:00,POINT (-101.4721204 24.07030119),HiPeople_21
1.47489E+18,2021-12-25T17:49:05.000-06:00,POINT (-101.4721204 24.07030119),HiPeople_21
1.47489E+18,2021-12-25T17:49:30.000-06:00,POINT (-101.66696249 17.73422985),monchis82
1.47489E+18,2021-12-25T17:49:36.000-06:00,POINT (-87.3787 21.5182),ThisWayParadise
1.47489E+18,2021-12-25T17:45:15.000-06:00,POINT (-107.82700181 27.51702567),xanatos
1.47489E+18,2021-12-25T17:52:21.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47489E+18,2021-12-25T17:42:13.000-06:00,POINT (-101.4721204 24.07030119),HiPeople_21
1.4748E+18,2021-12-25T11:46:30.000-06:00,POINT (-96.12706661 19.08986003),vmzp85
1.47519E+18,2021-12-26T13:57:00.000-06:00,POINT (-98.84781188 19.69347389),JC_GRANADOS
1.47526E+18,2021-12-26T18:10:37.000-06:00,POINT (-99.24499512 19.2537842),Infatuated4U
1.47499E+18,2021-12-26T00:07:23.000-06:00,POINT (-116.58600756 32.06983738),misaelglauss
1.47532E+18,2021-12-26T22:20:05.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47532E+18,2021-12-26T22:20:07.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47511E+18,2021-12-26T08:43:06.000-06:00,POINT (-103.13952464 23.91062008),HiPeople_21
1.47512E+18,2021-12-26T08:57:06.000-06:00,POINT (-103.13952464 23.91062008),HiPeople_21
1.47531E+18,2021-12-26T21:22:11.000-06:00,POINT (-102.366667 23.316667),Cadaver_Vivient
1.47531E+18,2021-12-26T21:22:21.000-06:00,POINT (-115.35553671 32.59271616),JesusJackLion
1.47562E+18,2021-12-27T18:19:25.000-06:00,POINT (-100.11524322 25.77739585),rubengzzalcala
